"","finalizedCompilation2.Country","finalizedCompilation2.DidWarEnd","finalizedCompilation2.DidWarEnd.1","finalizedCompilation2.ethnFrac","finalizedCompilation2.relFrac","finalizedCompilation2.internationalizedAlly","finalizedCompilation2.internationalizedOpponent","finalizedCompilation2.polity","finalizedCompilation2.aFricanContinent","finalizedCompilation2.logMountainous","finalizedCompilation2.logPopulation","finalizedCompilation2.logGDP.capita","finalizedCompilation2.violDiff"
"1","BDI",1,1,0.035510659,0.550199986,0,0,0,1,4.324132442,8.78810985654613,4.89591855255143,822
"2","CIV",1,1,0.859293461,0.559199989,0,0,0,1,0.336472243,9.76229932099399,6.56661781269994,789
"3","COD",1,1,0.901631832,0.680000007,0,1,0,1,1.648658633,10.6636049203358,4.93421922443619,214
"4","COG",1,1,0.657212377,0.519199967,0,1,-6,1,0,8.05081306933192,6.62077502673027,165
"5","GIN",1,1,0.749607503,0.266200006,0,0,-1,1,1.435084581,9.10176792581,5.75523512396275,38
"6","HRV",1,1,0.334221005,0.382799983,0,0,-5,0,1.528065443,8.44629894202686,8.47531584854509,103
"7","IDN",1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.2482340114919,6.5716464394442,1316
"8","LBR",1,1,0.829912245,0.639999986,0,0,0,1,0.470003635,8.02710537844103,5.17775922026916,389
"9","NPL",1,1,0.69923687,0.186200023,0,0,-6,0,4.3134799,10.1389330832508,5.66087534107701,490
"10","PAK",1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.9235790894175,6.47667204595291,920
"11","PHL",1,1,0.74517715,0.299600005,0,0,8,0,3.104586601,11.264356010086,6.94592830600392,275
"12","PHL",1,1,0.74517715,0.299600005,0,0,8,0,3.104586601,11.3652863041137,7.08564800546938,232
"13","RUS",1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.8976417098422,7.19349907218377,1489
"14","RWA",1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.78299492562454,5.64854324212674,547
"15","SCG",1,1,0.423846006,0.641799986,0,0,-6,0,2.667228222,9.17819025116689,7.78989715011949,302
"16","SDN",1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.2899717916123,6.16906331867111,1224
"17","SOM",1,1,0.076742947,0,1,1,0,1,2.610069752,9.33866990837591,5.90451407735438,25
"18","TCD",1,1,0.826272845,0.625,0,0,-2,1,2.251291752,9.21701892073916,6.49260664591895,367
